src_churn,test_churn,files_modified,src_files,doc_files,num_commits,team_size,sloc,is_pr,by_core_member,prev_build_failed,recent_failures_5,target
117,0,137,3,0,202,31,3094,False,False,0,0.0,0
2,0,9,1,0,8,6,1592,False,True,0,0.0,0
0,0,3,0,0,2,32,3103,False,True,0,0.0,1
0,0,1,0,0,1,32,3103,False,True,1,1.0,0
0,0,1,0,0,1,32,3103,False,True,0,1.0,0
0,0,1,0,0,1,6,1592,False,True,0,0.0,0
0,0,1,0,0,2,6,1592,False,True,0,0.0,0
0,0,1,0,0,1,6,1592,False,True,0,0.0,0
0,0,1,0,0,1,6,1592,False,True,0,0.0,0
0,0,4,0,0,1,6,1592,False,True,0,0.0,0
0,0,2,0,0,3,6,1592,False,True,0,0.0,0
0,0,1,0,0,1,6,1592,False,True,0,0.0,0
0,0,1,0,0,1,6,1592,False,True,0,0.0,0
0,0,3,0,0,1,6,1592,False,False,0,0.0,1
0,0,1,0,0,1,6,1592,False,True,1,1.0,0
0,0,1,0,0,1,6,1592,False,False,0,1.0,0
0,0,1,0,0,1,6,1592,False,True,0,1.0,0
0,0,3,0,0,3,6,1640,False,True,0,1.0,0
0,0,1,0,0,1,6,1640,False,True,0,1.0,0
0,0,2,0,0,1,6,1640,False,True,0,0.0,0
0,0,1,0,0,1,6,1640,False,True,0,0.0,0
457,0,107,3,0,267,17,1388,False,False,0,0.0,1
0,0,1,0,0,1,17,1388,False,False,1,1.0,0
0,0,1,0,0,1,17,1388,False,False,0,1.0,0
0,0,1,0,0,1,32,3103,False,True,0,1.0,0
0,0,4,0,0,2,32,3106,False,True,0,1.0,0
0,0,2,0,0,1,17,1388,False,False,0,1.0,0
0,0,3,0,0,1,32,3106,False,True,0,1.0,0
0,0,1,0,0,1,17,1388,False,False,0,1.0,0
193,0,91,3,0,127,21,1503,False,False,0,0.0,0
4,0,2,1,0,2,17,1388,False,False,0,1.0,0
45,0,3,2,0,2,31,3106,False,True,0,0.0,0
0,0,1,0,0,1,17,1388,False,False,0,0.0,0
0,0,1,0,0,1,21,1503,False,False,0,0.0,0
0,0,1,0,0,1,31,3106,False,True,0,0.0,0
0,0,2,0,0,2,21,1503,False,False,0,0.0,0
0,0,2,0,0,2,17,1388,False,False,0,0.0,0
0,0,2,0,0,2,31,3106,False,True,0,0.0,0
0,0,0,0,0,1,6,1640,False,True,0,0.0,0
4,0,1,1,0,2,6,2970,False,False,0,0.0,1
6,0,5,1,0,2,4,526,False,False,0,0.0,0
0,0,2,0,0,1,6,1640,False,True,1,1.0,1
0,0,1,0,0,1,4,526,False,False,0,0.0,0
0,0,6,0,0,2,4,528,False,False,0,0.0,0
0,0,2,0,0,1,4,528,False,False,0,0.0,0
0,0,6,0,0,2,6,2970,False,False,1,2.0,1
0,0,4,0,0,1,4,531,False,False,0,0.0,0
4,0,5,1,0,6,6,1639,False,True,1,3.0,1
0,0,1,0,0,1,6,2972,False,True,1,4.0,1
0,0,1,0,0,1,6,1648,False,True,1,5.0,1
0,0,1,0,0,1,6,2983,False,True,1,5.0,1
0,0,1,0,0,1,6,2983,False,True,1,5.0,1
0,0,1,0,0,1,6,1648,False,True,1,5.0,1
6,0,1,1,0,1,21,1503,False,False,0,0.0,0
6,0,1,1,0,1,17,1388,False,False,0,0.0,0
7,0,1,1,0,1,31,3106,False,True,0,0.0,0
0,0,1,0,0,1,31,3106,False,True,0,0.0,0
0,0,1,0,0,1,21,1503,False,False,0,0.0,0
0,0,1,0,0,1,6,1648,False,True,1,5.0,1
0,0,1,0,0,1,6,1648,False,True,1,5.0,1
0,0,1,0,0,1,6,1648,False,True,1,5.0,1
0,0,1,0,0,1,6,1648,False,True,1,5.0,0
0,0,0,0,0,1,6,1668,False,True,0,4.0,0
0,0,1,0,0,1,6,1671,False,True,0,3.0,0
0,0,1,0,0,1,4,531,False,False,0,0.0,0
239,0,29,3,0,75,30,994,False,False,0,0.0,1
0,0,1,0,0,1,30,994,False,True,1,1.0,1
0,0,2,0,0,1,30,994,False,True,1,2.0,1
2,0,1,1,0,1,6,1671,False,False,0,2.0,1
2,0,1,1,0,1,6,1671,False,False,1,2.0,0
15,0,15,1,0,2,6,2983,False,False,0,1.0,1
15,0,15,1,0,2,6,2983,False,False,1,2.0,1
0,0,2,0,0,2,6,2983,False,True,1,3.0,1
0,0,2,0,0,2,6,2983,False,True,1,4.0,1
0,0,1,0,0,1,6,2983,False,True,1,4.0,1
0,0,1,0,0,1,6,2983,False,True,1,5.0,1
8,0,3,2,0,1,6,2983,False,False,1,5.0,1
8,0,3,2,0,1,6,2983,False,False,1,5.0,1
0,0,1,0,0,1,6,2983,False,False,1,5.0,1
0,0,1,0,0,1,6,2983,False,True,1,5.0,1
2,0,2,1,0,1,6,1671,False,True,1,5.0,0
0,0,8,0,0,1,21,1503,False,False,0,0.0,0
0,0,2,0,0,1,17,1388,False,False,0,0.0,0
0,0,1,0,0,1,31,3106,False,True,0,0.0,0
0,0,2,0,0,1,17,1388,False,False,0,0.0,0
0,0,8,0,0,1,21,1503,False,False,0,0.0,0
0,0,1,0,0,1,31,3106,False,True,0,0.0,0
744,0,113,5,0,273,22,1631,False,False,0,0.0,1
0,0,1,0,0,3,6,1739,False,True,0,4.0,1
0,0,1,0,0,1,6,1739,False,True,1,4.0,1
0,0,1,0,0,1,6,1739,False,True,1,4.0,0
0,0,1,0,0,1,6,1739,False,True,0,3.0,0
7,0,4,2,0,2,6,1739,False,False,0,2.0,0
0,0,1,0,0,1,22,1631,False,True,1,1.0,1
0,0,1,0,0,1,22,1631,False,True,1,2.0,1
0,0,1,0,0,1,6,1739,False,True,0,2.0,0
0,0,0,0,0,1,6,1739,False,True,0,1.0,0
2,0,12,1,0,19,6,1868,False,True,0,0.0,0
0,0,1,0,0,1,6,1868,False,True,0,0.0,0
40,0,3,1,0,1,22,1592,False,True,1,3.0,1
0,0,1,0,0,1,22,1592,False,True,1,4.0,1
0,0,3,0,0,2,31,3121,False,True,0,0.0,0
0,0,3,0,0,2,31,3121,False,True,0,0.0,0
0,0,1,0,0,1,22,1592,False,True,1,5.0,1
0,0,1,0,0,1,22,1592,False,True,1,5.0,1
0,0,2,0,0,1,6,1868,False,True,0,0.0,0
0,0,4,0,0,5,6,1868,False,True,0,0.0,0
0,0,1,0,0,1,6,1868,False,True,0,0.0,0
0,0,2,0,0,1,31,3120,False,True,0,0.0,0
0,0,2,0,0,1,31,3120,False,True,0,0.0,0
0,0,1,0,0,1,31,3120,False,True,0,0.0,0
0,0,1,0,0,1,31,3120,False,True,0,0.0,0
0,0,12,0,0,3,6,1886,False,True,0,0.0,0
0,0,4,0,0,2,17,1397,False,False,0,0.0,0
0,0,4,0,0,2,17,1397,False,False,0,0.0,0
0,0,1,0,0,1,22,1592,False,True,1,5.0,1
0,0,1,0,0,1,6,1886,False,True,0,0.0,0
0,0,1,0,0,1,6,1886,False,True,0,0.0,0
0,0,1,0,0,1,22,1592,False,True,1,5.0,1
0,0,3,0,0,4,6,3012,False,True,0,0.0,1
0,0,18,0,0,11,6,1890,False,True,1,1.0,1
0,0,2,0,0,2,6,1893,False,True,1,2.0,0
0,0,1,0,0,1,6,1936,False,True,0,2.0,0
0,0,0,0,0,1,6,1936,False,True,0,2.0,1
0,0,1,0,0,1,6,1929,False,True,1,3.0,1
0,0,1,0,0,1,6,1929,False,True,1,3.0,1
71,0,4,1,0,3,21,1637,False,True,1,5.0,1
0,0,1,0,0,1,21,1637,False,True,1,5.0,1
0,0,2,0,0,1,21,1637,False,True,1,5.0,1
0,0,2,0,0,1,21,1645,False,True,1,5.0,1
0,0,1,0,0,1,21,1645,False,True,1,5.0,1
0,0,2,0,0,1,21,1645,False,True,1,5.0,1
0,0,1,0,0,1,21,1645,False,True,1,5.0,1
3,0,2,1,0,1,21,1645,False,True,1,5.0,1
11,0,1,1,0,1,21,1645,False,True,1,5.0,1
1,0,1,1,0,1,21,1645,False,True,1,5.0,1
1,0,1,1,0,1,21,1645,False,True,1,5.0,1
1,0,2,1,0,1,31,3121,False,True,0,0.0,0
1,0,2,1,0,1,31,3121,False,True,0,0.0,0
0,0,1,0,0,1,6,1929,False,True,1,3.0,0
0,0,1,0,0,1,21,1645,False,True,1,5.0,1
0,0,1,0,0,1,21,1645,False,True,1,5.0,0
0,0,8,0,0,1,21,1663,False,True,0,4.0,1
0,0,2,0,0,1,21,1662,False,True,1,4.0,0
0,0,2,0,0,1,6,1929,False,False,0,3.0,0
0,0,2,0,0,3,6,1983,False,True,0,3.0,0
0,0,3,0,0,1,21,1662,False,True,0,3.0,0
0,0,1,0,0,1,4,531,False,False,0,0.0,0
0,0,1,0,0,1,5,531,False,True,0,0.0,0
0,0,2,0,0,2,6,1987,False,True,0,2.0,0
0,0,1,0,0,2,6,2033,False,True,0,1.0,0
0,0,13,0,0,2,6,2033,False,True,0,0.0,0
0,0,1,0,0,1,6,2033,False,True,0,0.0,0
0,0,2,0,0,1,6,2033,False,True,0,0.0,0
